raw;crdb;ctie;nitrous(fidr)full;gear(nlpr) full;tyres(ttpp)full;power(cppi)full;Perf(cepi)full
73;AstonMartin_VanquishVReward_2025;TIER_5;2.0;1.0;0.0;713;2469
74;AstonMartin_VanquishVRewardRecycled_2025;TIER_5;2.0;1.0;0.0;713;2444
75;AstonMartin_VanquishZagatoReward_2017;TIER_5;2.0;0.97;0.0;714;1903
76;AstonMartin_VanquishZagatoRewardRecycled_2017;TIER_5;2.05;0.99;0.0;714;1863
77;AstonMartin_VanquishZagatoSB_2017;TIER_5;2.0;1.0;0.0;714;2067
78;AstonMartin_Vantage_2024;TIER_5;2.0;1.0;0.0;713;2447
79;AstonMartin_VantageGT12_2016;TIER_5;2.0;1.0;0.0;713;2472
80;AstonMartin_VantageGTE_2020;TIER_5;2.0;1.0;0.0;713;2444
81;AstonMartin_VantageRoadsterReward_2021;TIER_4;2.93;;;674;1318
82;AstonMartin_VantageRoadsterRewardRecycled_2021;TIER_4;2.93;;;674;1277
83;AstonMartin_VantageRReward_2025;TIER_5;2.0;1.0;0.0;713;2422
84;AstonMartin_VantageRRewardRecycled_2025;TIER_5;2.0;1.0;0.0;713;2399
85;AstonMartin_VantageV8Reward_2018;TIER_4;2.0;0.91;0.11;674;1503
86;AstonMartin_VantageV8RewardRecycled_2018;TIER_4;2.01;0.93;0.1;674;1521
87;AstonMartin_Victor_2020;TIER_5;2.0;0.99;0.54;713;2487
88;AstonMartin_VulcanReward_2016;TIER_5;2.0;1.0;0.52;714;2125
89;AstonMartin_VulcanReward_2016;TIER_5;3.46;0.5;0.5;714;2125
90;AstonMartin_VulcanRewardGold_2016;TIER_5;2.19;1.0;0.0;714;2127
91;AstonMartin_VulcanRewardRecycled_2016;TIER_5;2.0;1.0;0.52;714;2104
92;ATSAutomobili_GTReward_2018;TIER_5;2.41;1.0;0.0;713;2049
93;ATSAutomobili_GTRewardRecycled_2018;TIER_5;2.56;1.0;0.0;713;1994
94;ATSAutomobili_RRTurbo_2020;TIER_5;2.0;1.0;0.0;713;2264
95;Audi_ABTRS6RReward_2020;TIER_4;2.69;1.0;0.0;673;1744
96;Audi_ABTRS6RRewardRecycled_2020;TIER_4;2.69;1.0;0.0;673;1709
97;Audi_ABTRS7RReward_2020;TIER_4;2.69;1.0;0.0;673;1744
98;Audi_ABTRS7RRewardRecycled_2020;TIER_4;2.69;1.0;0.0;673;1709
99;Audi_LBR8V10PlusCoupeElite_2014;TIER_4;4.41;1.0;0.07;673;548
100;Audi_LBR8V10PlusCoupeReward_2014;TIER_4;4.38;1.0;0.11;674;1488
101;Audi_LBR8V10PlusCoupeRewardRecycled_2014;TIER_4;4.38;1.0;0.1;674;1473
102;Audi_LBRS5Coupe_2014;TIER_3;3.36;1.0;0.0;582;656
103;Audi_LBRS5CoupeElite_2014;TIER_3;5.0;1.0;0.1;581;711
104;Audi_NEWINGR8RSRReward_2016;TIER_5;2.62;1.0;0.53;713;1931
105;Audi_NEWINGR8RSRRewardRecycled_2016;TIER_5;2.62;1.0;0.53;713;1897
106;Audi_R18_2014;TIER_5;2.0;1.0;0.0;713;2519
107;Audi_R8LMSGT3_2019;TIER_5;2.0;1.0;0.53;713;2421
108;Audi_R8SpyderReward_2020;TIER_5;3.09;1.0;0.0;713;1903
109;Audi_R8SpyderRewardRecycled_2020;TIER_5;2.69;1.0;0.0;713;1751
110;Audi_R8V10Decennium_2019;TIER_5;2.91;1.0;0.0;713;1783
111;Audi_R8V10GreenHell_2020;TIER_5;3.01;1.0;0.0;713;1786
112;Audi_R8V10GTReward_2023;TIER_5;2.0;1.0;0.0;713;2059
113;Audi_R8V10GTRewardRecycled_2023;TIER_5;2.0;1.0;0.0;713;2027
114;Audi_R8V10PlusCoupe_2014;TIER_4;4.21;0.92;0.18;673;592
115;Audi_R8V10PlusCoupe_2016;TIER_5;3.23;1.0;0.17;713;1791
116;Audi_R8V10PlusCoupeReward_2016;TIER_5;3.08;1.0;0.0;713;1908
117;Audi_R8V10PlusCoupeRewardRecycled_2016;TIER_5;2.64;1.0;0.0;713;1782
118;Audi_RS3SedanReward_2023;TIER_3;2.55;1.0;0.0;581;1224
119;Audi_RS3SedanRewardRecycled_2023;TIER_3;2.55;1.0;0.0;581;1206
120;Audi_RS3SportbackReward_2023;TIER_3;2.55;1.0;0.0;581;1177
121;Audi_RS3SportbackRewardRecycled_2023;TIER_3;2.54;1.0;0.0;581;1158
122;Audi_RS5Coupe_2014;TIER_3;3.45;1.0;1.0;581;808
123;Audi_RS5Coupe_2014;TIER_3;3.12;1.0;0.59;581;539
124;Audi_RS5CoupeReward_2020;TIER_3;2.0;0.0;0.53;581;1032
125;Audi_RS5CoupeRewardRecycled_2020;TIER_3;2.0;0.0;0.53;581;1015
126;Audi_RS6AvantGTReward_2024;TIER_4;2.0;1.0;0.0;673;1910
127;Audi_RS6AvantGTRewardRecycled_2024;TIER_4;2.0;1.0;0.0;673;1879
128;Audi_RS6AvantReward_2020;TIER_4;2.68;1.0;0.0;673;1598
129;Audi_RS6AvantRewardRecycled_2020;TIER_4;2.68;1.0;0.0;673;1572
130;Audi_RS7SportbackReward_2020;TIER_4;3.09;1.0;0.0;673;1538
131;Audi_RS7SportbackRewardRecycled_2020;TIER_4;3.07;1.0;0.0;673;1522
132;Audi_RSetronGTReward_2022;TIER_5;2.0;1.0;0.0;713;2164
133;Audi_RSetronGTRewardRecycled_2022;TIER_5;2.0;1.0;0.0;713;2139
134;Audi_S1ETronQuattroHoonitron_2022;TIER_5;2.0;1.0;0.0;713;2586
135;Audi_TTRSCoupeIEReward_2023;TIER_4;5.0;1.0;0.0;673;1809
136;Audi_TTRSCoupeIERewardRecycled_2023;TIER_4;5.0;1.0;0.0;673;1790
137;Audi_TTRSPlusCoupe_2014;TIER_2;4.83;0.91;0.0;483;699
138;Audi_TTRSPlusCoupe_2014;TIER_2;5.0;0.9;0.0;483;632
139;BAC_MonoReward_2017;TIER_5;2.09;1.0;0.0;714;1731
140;BAC_MonoRewardRecycled_2017;TIER_5;2.09;0.98;0.0;714;1698
141;Bentley_BaturConvertibleReward_2025;TIER_5;2.0;1.0;0.0;713;2257
142;Bentley_BaturConvertibleRewardRecycled_2025;TIER_5;2.0;1.0;0.0;713;2228
143;Bentley_BentaygaReward_2018;TIER_4;2.17;0.87;0.21;674;723
144;Bentley_BentaygaRewardRecycled_2018;TIER_4;2.18;0.87;0.21;674;699
145;Bentley_ContinentalGT3PikesPeak_2021;TIER_5;2.0;1.0;0.0;713;2430
146;Bentley_ContinentalGT3RaceCar_2020;TIER_5;2.0;1.0;0.0;713;2429
147;Bentley_ContinentalGT3RReward_2015;TIER_5;2.68;0.98;0.17;713;1585
148;Bentley_ContinentalGT3RRewardRecycled_2015;TIER_5;2.23;0.98;0.17;713;1568
149;Bentley_ContinentalGTConvertibleReward_2019;TIER_5;3.48;0.83;0.01;713;1677
150;Bentley_ContinentalGTConvertibleRewardRecycled_2019;TIER_5;2.78;0.86;0.0;713;1658
151;Bentley_ContinentalGTCSpeedReward_2022;TIER_5;2.0;1.0;0.0;713;1949
152;Bentley_ContinentalGTCSpeedRewardRecycled_2022;TIER_5;2.0;0.89;0.0;713;1935
153;Bentley_ContinentalGTEVO_2026;TIER_5;2.0;1.0;0.0;713;
154;Bentley_ContinentalGTReward_2018;TIER_5;3.15;0.98;0.0;713;1701
155;Bentley_ContinentalGTRewardRecycled_2018;TIER_5;3.19;1.0;0.01;713;1689
156;Bentley_ContinentalGTSpeed_2016;TIER_5;3.12;1.0;0.0;712;1149
157;Bentley_ContinentalGTSpeed_2016;TIER_5;3.18;1.0;0.0;712;1056
158;Bentley_ContinentalGTSpeedReward_2021;TIER_5;2.99;1.0;0.0;713;2005
159;Bentley_ContinentalGTSpeedReward_2025;TIER_5;2.0;0.88;0.0;713;1975
160;Bentley_ContinentalGTSpeedRewardRecycled_2021;TIER_5;3.02;1.0;0.0;713;1979
161;Bentley_ContinentalGTSpeedRewardRecycled_2025;TIER_5;2.0;0.91;0.0;713;1961
162;Bentley_ContinentalGTV8SF8_2014;TIER_4;2.95;0.98;0.0;675;1769
163;Bentley_MullinerBacalarReward_2021;TIER_5;2.91;1.0;0.0;713;2068
164;Bentley_MullinerBacalarRewardRecycled_2021;TIER_5;2.92;1.0;0.0;713;2034
165;Bentley_MullinerBaturReward_2023;TIER_5;2.24;1.0;0.0;713;2152
166;Bentley_MullinerBaturRewardRecycled_2023;TIER_5;2.27;1.0;0.0;713;2128
167;Bentley_SupersportsReward_2026;TIER_5;2.0;1.0;0.0;713;2186
168;Bentley_SupersportsRewardRecycled_2026;TIER_5;2.0;1.0;0.0;713;2161
169;BMW_30CSLE9LP_1973;TIER_5;2.0;1.0;0.0;713;2570
170;BMW_ACSchnitzerM2Coupe_2016;TIER_3;3.57;1.0;0.0;583;803
171;BMW_ACSchnitzerZ4_2019;TIER_3;2.82;0.98;0.0;585;997
172;BMW_i8Elite_2017;TIER_4;3.62;0.9;0.05;673;747
173;BMW_i8Reward_2017;TIER_4;2.78;0.72;0.2;673;1088
174;BMW_i8RewardHoliday_2017;TIER_4;3.56;0.83;0.04;673;1103
175;BMW_i8RewardRecycled_2017;TIER_4;2.56;0.82;0.03;673;1153
176;BMW_i8RewardSilver_2017;TIER_4;3.59;0.86;0.04;673;1082
177;BMW_LBi8Reward_2017;TIER_4;3.84;0.92;0.26;673;1133
178;BMW_LBi8RewardRecycled_2017;TIER_4;3.78;0.92;0.23;673;1111
179;BMW_LBM4CoupeCrew_2014;TIER_3;3.31;1.0;0.0;585;720
180;BMW_LBM4CoupeCrewRecycled_2014;TIER_3;3.29;1.0;0.01;585;697
181;BMW_M1_1985;TIER_5;2.0;1.0;0.0;713;2487
182;BMW_M235iCoupe_2014;TIER_2;3.08;0.87;0.11;484;690
183;BMW_M235iCoupe_2014;TIER_2;3.41;0.91;0.22;484;604
184;BMW_M2Competition_2018;TIER_3;3.82;1.0;0.0;580;909
185;BMW_M2CoupeG87Reward_2023;TIER_3;2.0;1.0;0.0;581;1093
186;BMW_M2CoupeG87RewardRecycled_2023;TIER_3;2.0;1.0;0.0;581;1062
187;BMW_M2CSG87Reward_2025;TIER_4;2.87;1.0;0.0;673;1608
188;BMW_M2CSG87RewardRecycled_2025;TIER_4;2.86;1.0;0.0;673;1571
189;BMW_M2G87MPerformance_2023;TIER_3;2.0;1.0;0.0;581;1104
190;BMW_M2G87TNR_2023;TIER_5;2.0;1.0;0.0;713;1752
191;BMW_M3CSTouringReward_2025;TIER_4;3.15;1.0;0.55;673;1533
192;BMW_M3CSTouringRewardRecycled_2025;TIER_4;3.15;1.0;0.55;673;1500
193;BMW_M3E46GTR_2005;TIER_5;2.0;1.0;0.0;713;2642
194;BMW_M3E92CoupeGTSElite_2011;TIER_3;3.93;1.0;0.15;584;658
195;BMW_M3E92CoupeGTSReward_2011;TIER_3;3.56;0.98;0.12;584;654
196;BMW_M3E92CoupeGTSRewardRecycled_2011;TIER_3;3.57;0.97;0.11;584;628
197;BMW_M3SportEvoE30_1990;TIER_4;2.01;1.0;0.0;673;1733
198;BMW_M3TouringReward_2022;TIER_3;2.56;1.0;0.0;581;1058
199;BMW_M3TouringRewardRecycled_2022;TIER_3;2.56;1.0;0.0;581;1028
200;BMW_M4CompetitionG82TNR_2021;TIER_5;2.0;1.0;0.0;713;2064
201;BMW_M4Coupe_2014;TIER_3;4.99;1.0;0.0;580;698
202;BMW_M4Coupe_2014;TIER_3;4.45;1.0;0.09;580;620
203;BMW_M4CoupeMPerformance_2021;TIER_3;2.0;0.99;0.0;581;1059
204;BMW_M4CoupeReward_2021;TIER_3;2.54;1.0;0.0;581;1038
205;BMW_M4CoupeRewardRecycled_2021;TIER_3;2.54;1.0;0.0;581;1007
206;BMW_M4CSLReward_2022;TIER_4;3.15;1.0;1.0;673;1713
207;BMW_M4CSLRewardRecycled_2022;TIER_4;3.15;1.0;1.0;673;1681
208;BMW_M4GT3_2022;TIER_5;2.05;1.0;0.53;713;2496
209;BMW_M4GTS_2016;TIER_4;4.17;0.92;0.0;673;992
210;BMW_M5CompetitionReward_2019;TIER_4;3.5;1.0;0.0;674;1555
211;BMW_M5CompetitionRewardRecycled_2019;TIER_4;3.53;1.0;0.0;674;1558
212;BMW_M5CSReward_2022;TIER_4;3.23;0.95;0.0;674;1705
213;BMW_M5CSRewardRecycled_2022;TIER_4;3.37;1.0;0.0;674;1667
214;BMW_M5G99Touring_2024;TIER_5;2.22;1.0;0.0;713;2055
215;BMW_M5SedanReward_2024;TIER_5;2.0;1.0;0.0;713;2074
216;BMW_M5SedanRewardRecycled_2024;TIER_5;2.0;1.0;0.0;713;2048
217;BMW_M8Competition_2020;TIER_5;2.59;1.0;0.0;714;1911
218;BMW_M8ConvertiblePride_2021;TIER_5;2.54;1.0;0.0;714;1912
219;BMW_M8ConvertibleReward_2021;TIER_5;2.53;1.0;0.0;714;1910
220;BMW_M8ConvertibleRewardRecycled_2021;TIER_5;2.54;1.0;0.0;714;1882
221;BMW_M8Reward_2020;TIER_5;2.53;1.0;0.0;714;1883
222;BMW_M8RewardRecycled_2020;TIER_5;2.53;1.0;0.0;714;1853
223;BMW_RBM3E92Reward_2011;TIER_3;3.78;1.0;0.0;581;1143
224;BMW_RBM3E92RewardRecycled_2011;TIER_3;3.81;1.0;0.0;581;1121
225;BMW_VarisM4GTSReward_2016;TIER_4;4.16;1.0;0.0;674;979
226;BMW_VarisM4GTSRewardRecycled_2016;TIER_4;4.17;1.0;0.02;674;945
227;BMW_Z4_2019;TIER_3;4.67;1.0;0.0;585;846
228;BMW_Z4MCoupeCrew_2006;TIER_2;3.66;0.96;0.45;483;860
229;Brabham_BT62_2019;TIER_5;2.0;1.0;0.39;714;2243
230;Brabham_BT62Evo_2019;TIER_5;2.0;1.0;;714;2250
231;Brabham_BT62RReward_2020;TIER_5;2.0;1.0;;714;2250
232;Brabham_BT62RRewardRecycled_2020;TIER_5;2.0;1.0;0.33;714;2305
233;BTTF_TimeMachine1_1985;TIER_5;2.0;1.0;0.0;713;2637
234;BTTF_TimeMachine2_2015;TIER_5;2.0;1.0;0.0;713;2661
235;BTTF_TimeMachine3_1885;TIER_5;2.0;1.0;0.0;713;2699
236;Bugatti_AtlanticConcept_2015;TIER_5;2.0;1.0;0.0;715;2351
237;Bugatti_AtlanticConceptReward_2015;TIER_5;2.0;1.0;0.0;715;2351
238;Bugatti_AtlanticConceptRewardRecycled_2015;TIER_5;2.0;1.0;0.0;715;2323
239;Bugatti_Chiron42Seconds_2016;TIER_5;2.0;1.0;0.0;715;2139
240;Bugatti_ChironProfilee_2022;TIER_5;2.0;1.0;0.17;713;2326
241;Bugatti_ChironProjectHero_2016;TIER_5;2.0;1.0;0.14;713;2208
242;Bugatti_ChironPurSportEditionGP_2022;TIER_5;2.0;1.0;0.0;715;2055
243;Bugatti_ChironReward_2016;TIER_5;2.0;1.0;0.12;715;2123
244;Bugatti_ChironRewardGold_2016;TIER_5;2.0;1.0;0.44;715;2185
245;Bugatti_ChironRewardRecycled_2016;TIER_5;2.0;1.0;0.36;715;2105
246;Bugatti_ChironRLB_2020;TIER_5;2.0;1.0;0.17;715;2263
247;Bugatti_ChironRMS_2020;TIER_5;2.0;0.99;0.2;715;2242
248;Bugatti_ChironSport110_2018;TIER_5;2.0;1.0;0.27;715;2188
249;Bugatti_ChironSport_2016;TIER_5;2.0;1.0;0.12;715;2168
250;Bugatti_ChironSuperSport_2022;TIER_5;2.0;1.0;0.0;715;2410
251;Bugatti_ChironSuperSportWRE_2020;TIER_5;2.0;1.0;0.0;715;2459
252;Bugatti_Divo110_2019;TIER_5;2.0;1.0;0.21;715;2199
253;Bugatti_Divo_2019;TIER_5;2.0;1.0;0.26;715;2183
254;Bugatti_DivoGold_2019;TIER_5;2.0;1.0;0.14;715;2184
255;Bugatti_EB110HomageLB_2019;TIER_5;2.0;1.0;0.0;715;2273
256;Bugatti_EB110HomageMS_2019;TIER_5;2.0;1.0;0.08;715;2331
257;Bugatti_EB110SSClassic_1992;TIER_5;2.33;0.96;0.15;713;1006
258;Bugatti_LaVoitureNoire_2019;TIER_5;2.0;1.0;0.0;715;2351
259;Bugatti_LaVoitureNoire_2022;TIER_5;2.0;1.0;0.0;715;2468
260;Bugatti_Tourbillon_2026;TIER_5;2.0;1.0;0.0;713;2550
261;Bugatti_VeyronGrandSportVitesse_2012;TIER_5;2.86;1.0;0.0;714;2140
262;Bugatti_VeyronGrandSportVitesseAndroid_2012;TIER_5;2.11;1.0;0.0;714;2090
263;Bugatti_VeyronGrandSportVitesseiOS_2012;TIER_5;2.11;1.0;0.0;714;2090
264;Bugatti_VeyronGrandSportVitesseWRE_2012;TIER_5;2.88;1.0;0.0;714;2143
265;Bugatti_VeyronSuperSport_2012;TIER_5;2.88;1.0;0.55;714;2074
266;Bugatti_VeyronSuperSportGold_2012;TIER_5;2.0;0.96;0.16;715;2103
267;Bugatti_W16Mistral_2023;TIER_5;2.0;1.0;0.0;713;2539
268;Bugatti_W16MistralReward_2023;TIER_5;2.0;1.0;0.0;713;2539
269;Bugatti_W16MistralRewardRecycled_2023;TIER_5;2.0;1.0;0.0;713;2511
270;Bugatti_W16MistralWRE_2024;TIER_5;2.0;1.0;0.0;713;2539
271;Bugatti_X16_2024;TIER_5;2.0;1.0;0.0;715;2417
272;Bugatti_X16Gold_2024;TIER_5;2.0;1.0;0.0;715;2417
273;Buick_GNX_1987;TIER_5;2.0;1.0;0.0;713;2523
274;Buick_GrandNationalF4_1987;TIER_5;2.0;1.0;0.0;713;2575
275;Buick_RingbrothersGNX_1987;TIER_5;2.0;1.0;0.0;713;2596
276;Buick_RoadstershopGrandNational_1987;TIER_5;2.0;1.0;0.0;713;2575
277;Cadillac_CT5VBlackwingReward_2022;TIER_4;2.99;1.0;0.53;673;1685
278;Cadillac_CT5VBlackwingRewardRecycled_2022;TIER_4;2.99;1.0;0.53;673;1658
279;Cadillac_CTSVReward_2017;TIER_4;3.49;0.96;0.23;673;1084
280;Cadillac_CTSVRewardRecycled_2017;TIER_4;3.46;0.93;0.25;673;1050
281;Chevrolet_AlphaSixCamaroSSCrew_2016;TIER_3;5.0;1.0;0.53;584;725
282;Chevrolet_AlphaSixCamaroSSCrewRecycled_2016;TIER_3;5.0;1.0;0.53;584;646
283;Chevrolet_AmericanLegendsChevelle_1966;TIER_5;2.0;1.0;0.0;713;2565
284;Chevrolet_BBTImpala_1959;TIER_5;2.0;1.0;0.0;713;2370
285;Chevrolet_BlazinRodsChevelle_1970;TIER_5;2.0;1.0;0.0;713;2565
286;Chevrolet_C10Elite_2016;TIER_5;2.23;1.0;0.14;714;1653
287;Chevrolet_C10Halloween_2016;TIER_5;2.13;1.0;0.0;714;2127
288;Chevrolet_C10Reward_2016;TIER_5;2.11;1.0;0.0;714;2130
289;Chevrolet_C10RewardRecycled_2016;TIER_5;2.15;1.0;0.0;714;2115
290;Chevrolet_C10RewardVIP_2016;TIER_5;2.15;1.0;0.0;714;2130
291;Chevrolet_Camaro632_1988;TIER_5;2.0;1.0;0.0;713;2487
292;Chevrolet_CamaroSS_2016;TIER_3;3.41;1.0;0.35;584;658
293;Chevrolet_CamaroSS_2016;TIER_3;3.45;1.0;0.36;584;613
294;Chevrolet_CamaroSSNASCARXfinity_2021;TIER_5;2.0;1.0;0.53;713;2250
295;Chevrolet_CamaroZ28_2015;TIER_4;3.51;0.98;0.26;674;738
296;Chevrolet_CamaroZ28ASC_2015;TIER_4;4.64;1.0;0.12;675;633
297;Chevrolet_CamaroZL11LEReward_2018;TIER_5;3.28;1.0;0.0;713;1360
298;Chevrolet_CamaroZL11LERewardRecycled_2018;TIER_5;3.49;0.95;0.01;713;1341
299;Chevrolet_CamaroZL1Crew_2017;TIER_4;3.96;0.99;0.18;676;653
300;Chevrolet_CamaroZL1CrewRecycled_2017;TIER_4;3.91;1.0;0.2;676;642
301;Chevrolet_CamaroZL1NASCAR_2022;TIER_5;2.0;0.0;0.53;713;2479
302;Chevrolet_CapriceDonk_1971;TIER_5;2.0;1.0;0.0;713;2418
303;Chevrolet_COPOCamaroReward_2019;TIER_5;2.2;0.13;0.0;713;2330
304;Chevrolet_COPOCamaroRewardEvo_2019;TIER_5;2.15;1.0;0.0;713;2392
305;Chevrolet_COPOCamaroRewardRecycled_2019;TIER_5;2.23;0.08;0.0;713;2316
306;Chevrolet_CorvetteC1LPClassic_1958;TIER_5;2.0;1.0;1.0;713;1800
307;Chevrolet_CorvetteC4ZR1_1994;TIER_5;2.0;1.0;0.0;713;2019
308;Chevrolet_CorvetteC6ZR1_2012;TIER_5;2.0;1.0;0.0;713;2419
309;Chevrolet_CorvetteC7REditionReward_2015;TIER_4;3.49;1.0;0.0;673;187
310;Chevrolet_CorvetteC7REditionRewardRecycled_2015;TIER_4;3.49;1.0;0.0;673;171
311;Chevrolet_CorvetteC8Convertible_2020;TIER_4;5.0;1.0;0.0;674;1751
312;Chevrolet_CorvetteC8Reward_2020;TIER_4;5.0;1.0;0.06;674;1589
313;Chevrolet_CorvetteC8RewardRecycled_2020;TIER_4;5.0;1.0;0.0;674;1587
314;Chevrolet_CorvetteC8RLB_2020;TIER_5;2.0;1.0;0.0;714;2416
315;Chevrolet_CorvetteC8RMS_2020;TIER_5;2.0;1.0;0.0;714;2385
