raw;crdb;ctie;nitrous(fidr)max elite;gear(nlpr) max elite;tyres(ttpp)max elite;power(cppi)max elite;Perf(cepi)max elite
23;Ferrari_488PistaSpiderRewardRecycled_2019;TIER_5;2.3;1.0;0.0;713;2121
24;Ford_EscortMk1RS2000LPClassic_1973;TIER_5;2.0;1.0;0.0;713;2397
25;Ford_F150SVTRaptor_2014;TIER_2;4.71;0.96;0.0;481;1362
26;Ford_GT40MkII_1966;TIER_4;2.0;1.0;0.52;675;1442
27;Ford_Mustang302_1970;TIER_1;4.38;0.69;0.0;349;895
28;Ford_MustangGTFastbackTNR_2018;TIER_5;2.23;1.0;0.56;713;2422
29;Ford_MustangGTPremium_2015;TIER_3;2.23;1.0;0.56;581;894
30;Ford_MustangShelbyGT350LPClassic_1965;TIER_5;2.0;1.0;0.0;713;2613
31;Ford_MustangSVTCobraRLPClassic_1993;TIER_5;2.0;1.0;0.0;713;2536
32;Honda_CivicEGTNR_1995;TIER_5;2.0;1.0;0.0;713;2509
33;Honda_CivicTypeRTNR_2017;TIER_5;2.0;1.0;0.0;713;2525
34;Honda_CivicTypeRVaris_2017;TIER_3;3.15;1.0;0.07;581;1120
35;Honda_LBNSXRewardRecycled_2017;TIER_4;2.92;1.0;0.0;675;1444
36;Honda_NSXRClassic_1992;TIER_4;2.54;1.0;0.0;673;2000
37;Honda_NSXRewardRecycled_2017;TIER_4;3.08;1.0;0.0;674;1604
38;Honda_NSXTNR_1992;TIER_5;2.0;1.0;0.0;713;2391
39;Honda_S2000TNR_2001;TIER_5;2.4;1.0;0.53;713;2027
40;Jaguar_XJ220Classic_1993;TIER_5;2.0;1.0;0.0;713;2211
41;Jeep_GrandCherokeeTrackhawk_2018;TIER_4;3.7;1.0;0.0;673;1094
42;Lamborghini_AventadorTNR_2021;TIER_5;3.07;;;713;1653
43;Lamborghini_CountachClassic_1988;TIER_4;2.28;0.0;0.08;675;1715
44;Lamborghini_HuracanEVOTNR_2021;TIER_5;2.25;1.0;0.0;713;2456
45;Lamborghini_HuracanLP6104_2014;TIER_5;3.57;0.97;0.34;713;1943
46;Lamborghini_LBSilhouetteHuracanRewardRecycled_2014;TIER_5;2.6;0.91;0.0;714;2105
47;Lamborghini_MiuraSVLPClassic_1971;TIER_5;2.0;1.0;0.0;713;2595
48;Lexus_LC500TNR_2018;TIER_4;3.62;1.0;0.0;673;1791
49;LocalMotor_RallyFighter_2013;TIER_3;2.6;1.0;0.0;576;811
50;Mazda_RX7RewardRecycled_1993;TIER_4;2.0;0.94;0.0;669;1790
51;Mazda_RX7TNR_1993;TIER_5;2.12;1.0;0.0;713;1162
52;Mazda_RX8TNR_2008;TIER_5;2.0;1.0;0.0;713;2349
53;McLaren_720STNR_2017;TIER_5;2.0;1.0;0.0;713;2484
54;McLaren_F1_1993;TIER_5;2.0;1.0;0.0;714;2474
55;MercedesBenz_300SLClassic_1954;TIER_2;2.0;0.8;0.0;481;1467
56;MercedesBenz_C63AMGEdition507_2014;TIER_3;4.32;1.0;0.6;587;766
57;Mitsubishi_LancerEVOXTNR_2015;TIER_4;3.87;1.0;0.0;673;1561
58;Nissan_GTRTNR_2017;TIER_5;2.46;1.0;0.0;713;2168
59;Nissan_SilviaS15RocketBunny_1999;TIER_4;2.33;0.87;0.33;673;1641
60;Nissan_SilviaS15TNR_1999;TIER_5;2.39;1.0;0.0;713;2044
61;Nissan_SkylineGTRR34TNR_2002;TIER_5;2.56;1.0;0.0;713;1929
62;Nissan_ZTNR_2023;TIER_5;2.42;1.0;0.0;712;2340
63;Plymouth_HemiCudaClassic_1971;TIER_4;2.28;1.0;0.17;672;1511
64;Plymouth_SuperbirdLPClassic_1970;TIER_5;2.0;1.0;0.0;713;2416
65;Pontiac_GTOTheJudgeClassic_1969;TIER_3;2.41;0.93;0.0;582;867
66;Porsche_911CarreraRS27LPClassic_1973;TIER_5;2.0;1.0;0.0;713;2433
67;Porsche_911RRewardRecycled_2017;TIER_5;2.75;1.0;0.0;713;1806
68;Porsche_911Turbo930LPClassic_1977;TIER_5;2.0;1.0;0.0;713;2439
69;Porsche_CarreraGTClassic_2003;TIER_5;2.58;1.0;0.0;713;2141
70;Saleen_S7Classic_2004;TIER_5;2.21;1.0;0.0;713;2418
71;Shelby_Cobra427SCClassic_1965;TIER_3;3.19;0.95;0.0;581;-29
72;Shelby_CobraDaytonaLP_1964;TIER_5;2.0;1.0;0.0;713;2628
73;Shelby_SuperSnakeRewardRecycled_2019;TIER_5;2.24;1.0;0.0;714;2191
74;Subaru_BRZtSTNR_2020;TIER_5;3.37;0.87;0.0;713;1841
75;Subaru_WRXSTITNR_2018;TIER_4;3.31;1.0;0.0;673;1682
76;Toyota_GR86TNR_2023;TIER_5;2.0;1.0;0.0;713;2447
77;Toyota_GRSupraTNR_2020;TIER_5;2.48;0.96;0.0;713;2229
78;Toyota_GRSupraV2TNR_2021;TIER_5;2.0;1.0;0.0;713;2344
79;Toyota_SupraMK4TNR_1994;TIER_5;2.0;1.0;0.0;713;2507
